Date,Food,Amount,Calories,Carbohydrate,Protein,Fat
2022-10-05, popcorn, 100.0, 489.0, 61.0, 9.0, 25.0
2022-10-05, popcorn, 100.0, 890.0, 61.0, 9.0, 25.0
2022-10-06, popcorn, 100.0, 200.0, 61.0, 9.0, 25.0
2022-10-07, popcorn, 100.0, 300.0, 61.0, 9.0, 25.0
2022-10-07, corn, 190.0, 172.0, 31.0, 5.0, 5.0
2022-10-06, corn, 100.0, 90.0, 17.0, 3.0, 3.0
2022-10-06, apples, 80.0, 66.0, 16.0, 0.0, 1.0
2022-10-06, popcorn, 10.0, 49.0, 6.0, 1.0, 2.0
2022-10-05, apples, 90.0, 74.0, 18.0, 0.0, 1.0
2022-10-07, popcorn, 100.0, 300.0, 61.0, 9.0, 25.0
2022-10-07, popcorn, 100.0, 300.0, 61.0, 9.0, 25.0
2022-10-07, popcorn, 100.0, 300.0, 61.0, 9.0, 25.0
2022-10-06, bacon, 90.0, 418.0, 4.0, 26.0, 33.0
2022-10-06, cheese, 90.0, 292.0, 5.0, 21.0, 21.0
2022-10-06, cheese, 90.0, 292.0, 5.0, 21.0, 21.0
2022-10-06, grapes, 19.0, 13.0, 3.0, 0.0, 0.0
2022-10-06, rice, 90.0, 110.0, 21.0, 2.0, 2.0
2022-10-07, chicken, 80.0, 172.0, 2.0, 18.0, 10.0
2022-10-07, spinach, 80.0, 38.0, 3.0, 3.0, 2.0
2022-10-07, bacon, 50.0, 232.0, 2.0, 14.0, 18.0
2022-10-07, apples, 100.0, 82.0, 20.0, 0.0, 1.0
2022-10-07, chicken, 100.0, 215.0, 3.0, 23.0, 12.0
2022-10-07, chicken, 100.0, 215.0, 3.0, 23.0, 12.0
2022-10-07, chicken, 100.0, 215.0, 3.0, 23.0, 12.0
2022-10-07, apples, 30.0, 25.0, 6.0, 0.0, 0.0
2022-10-07, popcorn, 80.0, 392.0, 49.0, 7.0, 20.0
2022-10-07, popcorn, 80.0, 392.0, 49.0, 7.0, 20.0
2022-10-07, popcorn, 80.0, 392.0, 49.0, 7.0, 20.0
2022-10-07, apples, 20.0, 16.0, 4.0, 0.0, 0.0

2022-10-08, apples, 20.0, 16.0, 4.0, 0.0, 0.0
2022-10-08, apples, 2000.0, 1646.0, 396.0, 7.0, 17.0
